id,name,city_code,country_code,
252,"Winter Park,Florida",36027,US,
253,Kühlungsborn,3456,DE,
254,Bad Hofgastein,2841,AT,
255,Sunny Beach,39,BG,
256,Barcelona,587,ES,
257,Greifenburg,6070,AT,
258,Nidderau,38721,DE,
259,Kelchsau,8741,AT,
260,Shenyang,14108,CN,
261,Heraklion,209,GR,
262,Stuttgart,60,DE,
263,Dublin,352,IE,
264,Le Havre,16839,FR,
265,"Livermore,California",20710,US,
266,Giovinazzo,31412,IT,
267,"Sydney, New South Wales",16,AU,
268,Kerpen,38512,DE,
269,"Lynchburg,Virginia",20723,US,
270,Torrevieja,12692,ES,
271,"Campbell,California",20100,US,
272,Giardini Naxos,2155,IT,
273,"Bismarck,North-Dakota",20014,US,
274,Kiotari,274,GR,
275,"Salinas,California",25855,US,
276,Playa Blanca,738,ES,
277,Maria Alm,2593,AT,
278,"Toronto,Ontario",3089,CA,
279,Landl,8740,AT,
280,Queenstown,521,NZ,
281,Verditz,8738,AT,
282,Bubbio,28675,IT,
283,Anzére,3820,CH,
284,Niemegk,28577,DE,
285,"Madison,Wisconsin",20727,US,
286,Dresden,2794,DE,
287,Geretsried,45511,DE,
288,Salice Terme,35118,IT,
289,Neukirchen,10276,DE,
290,Vassilikos,297,GR,
291,"Houston,Texas",1114,US,
292,"Roseville,California",20930,US,
293,"Winter Haven,Florida",21110,US,
294,Kastro,3283,GR,
295,Balatonvilagos,5201,HU,
296,Side,939,TR,
297,Bad Neuenahr,3103,DE,
298,Montesilvano,2415,IT,
299,Lindos,278,GR,
300,"Ellensburg,Washington",34076,US,
301,Malchow,3452,DE,
302,"Memphis,Tennessee",1145,US,
303,"Murfreesboro,Tennessee",20818,US,
304,"Battle Creek,Michigan",19989,US,
305,Nagapattinam,33261,IN,
306,Jiangmen,34471,CN,
307,Heinzenberg,32425,CH,
308,Bibione,2173,IT,
309,Kalamata,256,GR,
310,Podstrana,18941,HR,
311,Grömitz,3444,DE,
312,"Knoxville,Tennessee",6351,US,
313,Speyer,3105,DE,
314,Hengdian,43535,CN,
315,"Kingston,Ontario",6114,CA,
316,Porto Santa Margherita,5251,IT,
317,Beijing,3066,CN,
318,Stoupa,266,GR,
319,Agios Nikolaos,194,GR,
320,Mathon,5988,CH,
321,Albufeira,526,PT,
322,Alvor,527,PT,
323,"Brookfield,Wisconsin",20036,US,
324,Piazzogna,5979,CH,
325,Harbin,25697,CN,
326,Wachow,38610,DE,
327,"San Marcos,California",20948,US,
328,Pefkos,279,GR,
329,Listaros,29272,GR,
330,"Salisbury,Maryland",20944,US,
331,"Tonawanda,New York",35932,US,
332,Lianyungang,37449,CN,
333,Lloret de Mar,2485,ES,
334,Stirling,12195,UK,
335,"South San Francisco,California",20996,US,
336,Llívia,16825,ES,
337,Tsingtau (Qingdao),14106,CN,
338,"Ellicott City,Maryland",41823,US,
339,"Anaheim,California",4024,US,
340,Ratingen,8970,DE,
341,Chania,200,GR,
342,Avila,583,ES,
343,Keitum,3419,DE,
344,Pas de la Casa,16416,AD,
345,Zhuhai,32804,CN,
346,"Oakwood,Georgia",21234,US,
347,Burg auf Fehmarn,28723,DE,
348,"Dowagiac,Michigan",40498,US,
349,Maastrich,11968,NL,
350,Arequipa,3603,PE,
351,"Beaumont,Texas",19993,US,
352,Salvador da Bahia,35,BR,
353,Xiamen,28316,CN,
354,"Okeechobee,Florida",35844,US,
355,Le Barcares,5633,FR,
356,Leimen,35297,DE,
357,Büdingen,43881,DE,
358,Shanghai,7430,CN,
359,"Columbus,Ohio",20038,US,
360,Hohwacht,3434,DE,
361,Valras Plage,12050,FR,
362,"Ellicottville,New York",40511,US,
363,Eretria,6409,GR,
364,Wilhelmshaven,11994,DE,
365,Arcos de la Frontera,1027,ES,
366,Wuhan,7639,CN,
367,Ainsa,19049,ES,
368,"Niagara Falls,Ontario",6117,CA,
369,Wörlitz,13301,DE,
370,"Osage Beach,Missouri",35869,US,
371,Castries,29216,FR,
372,Saint Malo,5015,FR,
373,"Sunnyvale,California",21277,US,
374,Schmiedefeld am Rennsteig,26304,DE,
375,Mumbai,7561,IN,
376,Templin,3498,DE,
377,Minerbio,40030,IT,
378,Boticas,47091,PT,
379,Inzell,3651,DE,
380,"Narrabri,New South Wales",32608,AU,
381,Kipfenberg,20239,DE,
382,Canillo,16408,AD,
383,"Bellevue,Washington",20001,US,
384,"Estes Park,Colorado",7524,US,
385,Wuxi,7640,CN,
386,La Bresse,10199,FR,
387,Venice,1256,IT,
388,Sant Cugat del Valles,31397,ES,
389,Benidorm,589,ES,
390,Freixo,12746,PT,
391,Laboe,3430,DE,
392,"Panama City,Florida",1337,US,
393,Mehrstetten,62514,DE,
394,Le Grand-Bornand,18740,FR,
395,Sarria,19531,ES,
396,Perissa,2370,GR,
397,Kubu,42740,ID,
398,Oderzo,15316,IT,
399,Kinding,38515,DE,
400,"Benton Harbor,Michigan",20006,US,
401,"Melbourne,Florida",1333,US,
402,"San Angelo,Texas",20946,US,
403,Felgueiras,47096,PT,
404,"Paterson,New Jersey",41891,US,
405,Bad Salzuflen,4802,DE,
406,"Santa Fé,New Mexico",1139,US,
407,Westerland,3418,DE,
408,Letojanni,2112,IT,
409,Windhoek,1842,NA,
410,"Merrillville,Indiana",20765,US,
411,"Lake George,New York",17483,US,
412,Milan,1255,IT,
413,Auxerre,10291,FR,
414,Chaves,1644,PT,
415,Dagebüll,3415,DE,
416,Mespelbrunn,5529,DE,
417,Iquitos,12420,PE,
418,Guangzhou,7632,CN,
419,Grafenhausen (Hochschwarzwald),38402,DE,
420,"Mildura,Victoria",8020,AU,
421,Ligia,242,GR,
422,Barreiros,63165,ES,
423,Tamworth,36944,UK,
424,Marseillan-Plage,19492,FR,
425,Büsum,3413,DE,
426,"Binghamton,New York",20012,US,
427,Schwetzingen,12610,DE,
428,"Lee Vining,California",34674,US,
429,"Ellsworth,Maine",34078,US,
430,Lijiang,7634,CN,
431,Biescas,18969,ES,
432,Krakow at the+D1854 Lake,5213,DE,
433,Tai'an,32796,CN,
434,Les Saintes Maries de la Mer,2460,FR,
435,Kelberg,25074,DE,
436,"Montgomery,Alabama",7892,US,
437,"Miami,Florida",951,US,
438,Les Menuires,3831,FR,
439,Bad Zwischenahn,2878,DE,
440,"Cooperstown,New York",33919,US,
441,"Destin,Florida",20470,US,
442,Idanha-a-Nova,16526,PT,
443,Horumersiel,3397,DE,
444,Glottertal,5544,DE,
445,Hermanus,4311,ZA,
446,Aalst,21305,BE,
447,"Pulaski,New York",41738,US,
448,Menton,4019,FR,
449,Altenstadt,34687,DE,
450,Mollans sur Ouveze,5702,FR,
451,Sintra,1243,PT,
452,Carrazeda de Ansiães,47092,PT,
453,"Richmond Hill,Georgia",20915,US,
454,Limassol,984,CY,
455,Markgröningen,38647,DE,
456,Saint Petersburg,5355,RU,
457,Pomorie,3322,BG,
458,Copenhagen,2816,DK,
459,Malaucene,10322,FR,
460,Puerto Maldonado,25750,PE,
461,Klodzko,26221,PL,
462,Les Escaldes,12,AD,
463,Puy-Saint-Martin,29225,FR,
464,Cala Ratjada,753,ES,
465,"Fullerton,California",28347,US,
466,Alvados,47087,PT,
467,"Crescent City,Florida",41453,US,
468,Kelkheim,35256,DE,
469,Deutschneudorf,41002,DE,
470,Le Lavandou,5052,FR,
471,Praiano,3351,IT,
472,Mallemort,4020,FR,
473,"Ronks,Pennsylvania",43255,US,
474,Argassi,290,GR,
475,"Yosemite National Park,California",4033,US,
476,"Yountville,California",36414,US,
477,Rodalben,38810,DE,
478,Swinoujscie,10813,PL,
479,"Friday Harbor,Washington",14753,US,
480,Milton Keynes,17238,UK,
481,Sasbachwalden,18095,DE,
482,La Roque d'Anthéron,13836,FR,
483,Haamstede,5919,NL,
484,Finiki,142,GR,
485,Bridgend,17399,UK,
486,"Coral Gables,Florida",33921,US,
487,Dinslaken,38290,DE,
488,Parma,4414,IT,
489,"Lake Oswego,Oregon",20682,US,
490,Carro,8583,FR,
491,Miyazaki,33377,JP,
492,Vale de Amoreira,55493,PT,
493,"Sainte-Anne-des-Monts,Quebec",25891,CA,
494,Swellendam,16321,ZA,
495,Maussane-les-Alpilles,19494,FR,
496,"St. Augustine,Florida",1331,US,
497,Arkassa,2139,GR,
498,San Remo,2189,IT,
499,Manilva,16890,ES,
500,Sassnitz,3466,DE,
501,Le Lude,39390,FR,
502,Gordes,5581,FR,
503,Hermon,24040,ZA,
504,"Bloomington,Minnesota",9418,US,
505,Lagos,531,PT,
506,Quzhou,38107,CN,
507,Florenz,22507,IT,
508,Itaparica,1374,BR,
509,Vouzela,47118,PT,
510,Saronno,40169,IT,
511,Krakow,5358,PL,
512,"West Palm Beach,Florida",20041,US,
513,Sigonce,29234,FR,
514,Hamminkeln,38435,DE,
515,Bangkok,864,TH,
516,"Shartlesville,Pennsylvania",41152,US,
517,Hua Hin,866,TH,
518,Gerolstein,24110,DE,
519,London,302,UK,
520,Oetz,3308,AT,
521,Montanejos,47536,ES,
522,Agia Marina,191,GR,
523,Santo Domingo,77,DO,
524,"Lincolnville,Maine",41520,US,
525,Bali,326,ID,
526,Al Khobar,31396,SA,
527,Alexisbad,3952,DE,
528,"Silver Springs,Florida",36214,US,
529,Knysna,1894,ZA,
530,Glücksburg,3420,DE,
531,Potsdam,2792,DE,
532,"Elmwood Park,New Jersey",47237,US,
533,Sanya,3303,CN,
534,Outes,61187,ES,
535,Le Mans,16453,FR,
536,Modica,18942,IT,
537,"Stateline,Nevada",36864,US,
538,Kernen im Remstal,38511,DE,
539,Dongguan,22302,CN,
540,"Moe,Victoria",32598,AU,
541,Besse - sur - Issole,12792,FR,
542,Hoi An,8228,VN,
543,"Sparta,Wisconsin",21271,US,
544,Ischia,380,IT,
545,Bad Rothenfelde,38192,DE,
546,"Waukesha,Wisconsin",27720,US,
547,Jaisalmer,17828,IN,
548,"Blue Ash,Ohio",20016,US,
549,Ollières,29241,FR,
550,Plettenberg Bay,1895,ZA,
551,"Ely,Minnesota",40512,US,
552,Leon,618,ES,
553,Fuzhou,18102,CN,
554,Bari,7839,IT,
555,Krombach,43970,DE,
556,"San José,California",4270,US,
557,"Anchorage,Alaska",3085,US,
558,Huai'an,43537,CN,
559,Rottendorf,38823,DE,
560,Bauduen,11699,FR,
561,Manama,1488,BH,
562,Nanjing,7636,CN,
563,Palanga,5424,LT,
564,Schmitten,38842,DE,
565,Mantua,12268,IT,
566,Playa del Ingles,692,ES,
567,"Saint Augustine Beach,Florida",56552,US,
568,Kaifeng,34478,CN,
569,Göhren,3472,DE,
570,Minden,14161,DE,
571,Tourtour,5601,FR,
572,Guarda,7530,PT,
573,"Wauwatosa,Wisconsin",21287,US,
574,Dalat,14393,VN,
575,Edenkoben,23857,DE,
576,"Blue Springs,Missouri",20017,US,
577,Deqing,38095,CN,
578,Trans-en-Provence,14953,FR,
579,Praia Da Luz,41413,PT,
580,Ansbach,21422,DE,
581,Port Elizabeth,1896,ZA,
582,"Mathis,Texas",41538,US,
583,Taiyuan,31104,CN,
584,"Sturbridge,Massachusetts",7975,US,
585,"Oakland,California",20055,US,
586,Bagnols en Foret,23383,FR,
587,"Cambridge,Maryland",11524,US,
588,El Gouna,1001,EG,
589,Zonhoven,44664,BE,
590,Deggendorf,5364,DE,
591,"Bossier City,Louisiana",20020,US,
592,La Motte,5618,FR,
593,Arnsberg,3098,DE,
594,"Avon,Colorado",4153,US,
595,Fangchenggang,43523,CN,
596,"Eagan,Minnesota",20487,US,
597,Zhangzhou,34502,CN,
598,"Sutton,Alaska",25892,US,
599,Hyéres,2546,FR,
600,"Mont-Laurier,Quebec",32704,CA,
601,Cangas de Onis,12131,ES,
602,Seville,642,ES,
603,Wiesbaden,3923,DE,
604,Plan,39661,ES,
605,Yantai,32801,CN,
606,Ein Bokek,1059,IL,
607,Dadonghai Bay,27408,CN,
608,"Los Angeles, California",960,US,
609,"Taylorsville,Mississippi",56509,US,
610,Aizarnazabal,62855,ES,
611,Villorba,54383,IT,
612,"Juneau,Alaska",6336,US,
613,"San Marcos,Texas",27297,US,
614,"Round Rock,Texas",20044,US,
615,Bad Homburg,14476,DE,
616,Saint Valery-Sur-Somme,5177,FR,
617,Nanchang,27386,CN,
618,Giens Peninsula,5180,FR,
619,"Bothell,Washington",20021,US,
620,Olot,7210,ES,
621,Los Gigantes,1079,ES,
622,La Tranche-Sur-Mer,2452,FR,
623,Dalian,22238,CN,
624,Friedewald,5533,DE,
625,"West Hollywood,California",56329,US,
626,"Thomson,Georgia",36012,US,
627,Friedrichskoog,3412,DE,
628,Dietzenbach,34507,DE,
629,Tabernas,46671,ES,
630,Castellon,595,ES,
631,Jalandhar,20802,IN,
632,Luang Prabang,7573,LA,
633,"Englewood,Florida",16607,US,
634,Miramare,12002,IT,
635,Duderstadt,4490,DE,
636,Kalkan,918,TR,
637,Twyfelfontein,3906,NA,
638,Balatonszarszo,3191,HU,
639,Pongola,4237,ZA,
640,Zarautz,16944,ES,
641,Athens,99,GR,
642,"Watson Lake,Yukon",6150,CA,
643,"Placerville,California",36052,US,
644,Los Cristianos,832,ES,
645,Saint Jean de Monts,4825,FR,
646,"Rochester,Minnesota",20046,US,
647,Memmingen,28672,DE,
648,Lahr,14608,DE,
649,"Panama City Beach,Florida",31087,US,
650,Kühtai,2585,AT,
651,"Troy,Alabama",36235,US,
652,Cuenca,603,ES,
653,"Erie,Pennsylvania",34094,US,
654,Montpellier,5626,FR,
655,Wroclaw,5357,PL,
656,"Mayo,Yukon",25893,CA,
657,Cavalaire sur mer,5616,FR,
658,Chamonix,2973,FR,
659,Lido Altanea,28962,IT,
660,Meckenbeuren,31005,DE,
661,Güstrow,4478,DE,
662,"Brooklyn Center,Minnesota",20377,US,
663,"Bourbonnais,Illinois",20023,US,
664,Bled,573,SI,
665,"Tupelo,Mississippi",21052,US,
666,La Croix Valmer,2474,FR,
667,"Sandusky,Ohio",21264,US,
668,Monestier,37205,FR,
669,Scarborough,27334,UK,
670,Alexandria,1619,EG,
671,Langhagen,43974,DE,
672,Otavalo,25624,EC,
673,"Bowling Green,Kentucky",20025,US,
674,"Pointe-Claire,Quebec",32711,CA,
675,Siofok,2609,HU,
676,Tux,10134,AT,
677,Tharandt,38538,DE,
678,"Chicago,Illinois",1102,US,
679,Kalahari,7541,NA,
680,Szczecin,9406,PL,
681,Mörfelden-Walldorf,16443,DE,
682,Drakensberg,3237,ZA,
683,Terenten,3292,IT,
684,"Unadilla,Georgia",61093,US,
685,Vitoria Gasteiz,16942,ES,
686,Gassin,11909,FR,
687,Jammu,20803,IN,
688,Le Val André,37207,FR,
689,Aosta,17037,IT,
690,Erlangen,17211,DE,
691,Mlini,2289,HR,
692,Talavera de la Reina,16922,ES,
693,Alyth,43686,UK,
694,"Alexander City,Alabama",33577,US,
695,Surakarta (Solo),7708,ID,
696,"Ormond Beach,Florida",8419,US,
697,Bad Elster,4485,DE,
698,Le Touquet,2445,FR,
699,Makhado,56297,ZA,
700,"Eden Prairie,Minnesota",20496,US,
701,"Bristol,Pennsylvania",56534,US,
702,Sapporo,23944,JP,
703,Lago San Pablo,27961,EC,
704,Palermo,1054,IT,
705,Dreznik Grad,36911,HR,
706,Kemer,935,TR,
707,Bükfürdö,11591,HU,
708,Beaulieu-sur-Dordogne,21602,FR,
709,Duino,60749,IT,
710,Hermagor,12052,AT,
711,Iserlohn-Letmathe,9522,DE,
712,Tzaneen,3898,ZA,
713,Sarajevo,23937,BA,
714,Insel Ciovo,25034,HR,
715,Alboraya,16369,ES,
716,Papallacta,27962,EC,
717,"Las Vegas,Nevada",1118,US,
718,Qingyang,43557,CN,
719,"Santa Barbara,California",1138,US,
720,Malelane,1881,ZA,
721,Schönfels,38599,DE,
722,"Colstrip,Montana",41451,US,
723,Ribadeo,7377,ES,
724,Ronda,3277,ES,
725,Coldstream,39756,UK,
726,Cotopaxi Nationalpark,26110,EC,
727,Soldeu,16417,AD,
728,Steinenbronn,32862,DE,
729,Bad Kissingen,2864,DE,
730,"Utica,New York",21282,US,
731,Benissa,3258,ES,
732,Bansko,7024,BG,
733,La Chapelle-d'Abondance,30613,FR,
734,Dongyang,37443,CN,
735,"Morgantown,West Virginia",20797,US,
736,Heidelberg,3933,DE,
737,Budapest,940,HU,
738,Teruel,645,ES,
739,"Maple Grove,Minnesota",20735,US,
740,Saint Tropez,9540,FR,
741,"Dallas,Texas",1104,US,
742,"Sandy,Utah",20952,US,
743,"Mooloolaba,Queensland",32600,AU,
744,Luxor,5,EG,
745,Yiwu,25701,CN,
746,Ameglia,2430,IT,
747,Bad Pistyan,11564,SK,
748,Benoni,56274,ZA,
749,Samoëns,18755,FR,
750,Straubing,26010,DE,
751,"Valdosta,Georgia",17864,US,
752,Prichsenstadt,38776,DE,
753,Icmeler,2137,TR,
754,Bratislava,12500,SK,
755,Ferreira do Alentejo,47097,PT,
756,Bad Griesbach,2858,DE,
757,"Lincoln City,Oregon",14217,US,
758,"Bristol,Virginia",20033,US,
759,"Vicksburg,Mississippi",8417,US,
760,Marina di Bibbona,366,IT,
761,Champagny en Vanoise,9662,FR,
762,Avermes,32915,FR,
763,"Woodbury,Minnesota",21113,US,
764,Maoming,38134,CN,
765,Dubai,968,AE,
766,Poiana Brasov,16557,RO,
767,Walluf,38975,DE,
768,Ithala Game Reserve,60520,ZA,
769,Mussoorie,26970,IN,
770,Port Grimaud / Grimaud,5057,FR,
771,"Waco,Texas",21071,US,
772,Argentiére,3825,FR,
773,Berlin,2791,DE,
774,Bogota,435,CO,
775,Lège Cap Ferret,13710,FR,
776,"Grand Forks,North-Dakota",20585,US,
777,Curaçao,22230,CW,
778,Ferreira do Zêzere,16525,PT,
779,Bochum,48,DE,
780,"Mobile,Alabama",20057,US,
781,Frantiskovy Lazne,2831,CZ,
782,St. Wendel,8761,DE,
783,Landeira,47101,PT,
784,Manchester,303,UK,
785,Arcachon,2453,FR,
786,"Sanford,North Carolina",20953,US,
787,Santa Marta de Penaguião,47108,PT,
788,Kempen,38510,DE,
789,"Weatherford,Oklahoma",36345,US,
790,La Plagne,3829,FR,
791,"Oklahoma City,Oklahoma",6173,US,
792,Jagel,38495,DE,
793,Caldas da Rainha,1666,PT,
794,Merseburg,14314,DE,
795,Santa Susanna,10782,ES,
796,Bidarray,21678,FR,
797,"Columbus,Georgia",20422,US,
798,Killarney,348,IE,
799,Büchlberg,23906,DE,
800,Agadir,485,MA,
801,Isla,16338,ES,
802,"Newmarket,Ontario",32707,CA,
803,Azenhas do Mar,44070,PT,
804,Amman,1919,JO,
805,"Escanaba,Michigan",34098,US,
806,Caceres,591,ES,
807,Brezzo di Bedero,13983,IT,
808,Jamnagar,26995,IN,
809,Herstal,17602,BE,
810,Benodet,8537,FR,
811,Colchester,17973,UK,
812,Baião,28738,PT,
813,"Willmar,Minnesota",21292,US,
814,"Huntersville,North Carolina",34455,US,
815,"Kissimmee,Florida",1542,US,
816,Le Mesnil-Amelot,21689,FR,
817,Wenighösbach,38972,DE,
818,Fethiye-Calis,10974,TR,
819,Puerto Vallarta,517,MX,
820,Burton upon Trent,18708,UK,
821,Shaoxing,32793,CN,
822,Hann. Münden,14758,DE,
823,"Des Plaines,Illinois",20469,US,
824,"Columbus,Mississippi",20423,US,
825,Tokyo,1739,JP,
826,Mêda,47103,PT,
827,"Lake Arrowhead,California",40585,US,
828,"Santa Cruz,California",20954,US,
